Year,Name,YearName,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Pick,Round
2015,Cameron Botticelli,2015Cameron Botticelli,Minnesota,DT,76,292,,,,4.98,,,,,,,#N/A,#N/A
2015,Gerald Bowman,2015Gerald Bowman,Southern California,SS,73,205,,,,4.58,,,,,,,#N/A,#N/A
2015,Brett Boyko,2015Brett Boyko,Nevada Las Vegas,OG,78.63,301,9,32,,5.6,,25,103,4.75,7.91,,#N/A,#N/A
2015,Nick Boyle,2015Nick Boyle,Delaware,TE,76.5,268,10.38,33.38,,5.04,20,30.5,112,4.23,7.13,11.65,171,5
2015,Brandon Bridge,2015Brandon Bridge,South Alabama,QB,76.38,229,9.25,34.25,,4.72,,33,110,4.37,7.18,,#N/A,#N/A
2015,Kyle Brindza,2015Kyle Brindza,Notre Dame,K,72.63,236,10,33.25,,5.17,14,,,,,,#N/A,#N/A
2015,Terrance Broadway,2015Terrance Broadway,Louisiana-Lafayette,QB,73,223,,,,4.62,,,,,,,#N/A,#N/A
2015,Cariel Brooks,2015Cariel Brooks,Adams State (CO),CB,69,196,,,,4.53,,,,,,,#N/A,#N/A
2015,Artez Brown,2015Artez Brown,Arkansas State,CB,73,182,,,,4.52,,,,,,,#N/A,#N/A
2015,Da'Ron Brown,2015Da'Ron Brown,Northern Illinois,WR,72.13,205,,,,4.54,17,37,120,4.11,7.04,,233,7
2015,Dominique Brown,2015Dominique Brown,Louisville,RB,73.88,234,9.5,32.38,,4.62,17,,,,,,#N/A,#N/A
2015,Jamon Brown,2015Jamon Brown,Louisville,OT,75.63,323,9.75,34.38,,5.44,,,,,,,72,3
2015,Leon Brown,2015Leon Brown,Alabama,OG,78,346,,,,5.67,,,,,,,#N/A,#N/A
2015,Malcolm Brown,2015Malcolm Brown,Texas,RB,71.38,224,10.25,32.75,,4.62,19,34.5,117,4.15,6.86,11.32,#N/A,#N/A
2015,Malcom Brown,2015Malcom Brown,Texas,DT,74.38,319,10,32.5,19,5.05,26,29.5,98,4.59,7.84,,32,1
2015,Trent Brown,2015Trent Brown,Florida,OT,80.5,355,,,,5.29,20,23.5,97,4.78,8.23,,#N/A,#N/A
2015,Serderius Bryant,2015Serderius Bryant,Mississippi,SS,68,228,,,,4.64,,,,,,,#N/A,#N/A
2015,Quayshawne Buckley,2015Quayshawne Buckley,Idaho,DT,74,302,,,,5.26,,,,,,,#N/A,#N/A
2015,Betim Bujari,2015Betim Bujari,Rutgers,C,75,298,,,,5.27,,,,,,,#N/A,#N/A
2015,Malcolm Bunche,2015Malcolm Bunche,UCLA,OG,78,320,,,,5.24,,,,,,,#N/A,#N/A
2015,Blair Burns,2015Blair Burns,Wyoming,CB,70,186,,,,4.55,,,,,,,#N/A,#N/A
2015,Clay Burton,2015Clay Burton,Florida,TE,75,248,,,,4.76,,,,,,,#N/A,#N/A
2015,Mike Burton,2015Mike Burton,Rutgers,FB,71.25,242,,,,4.74,25,33,115,4.34,7.2,,#N/A,#N/A
2015,Damiere Byrd,2015Damiere Byrd,South Carolina,WR,69,162,,,,4.39,,,,,,,#N/A,#N/A
2015,Bryce Callahan,2015Bryce Callahan,Rice (TX),CB,69,184,,,,4.49,,,,,,,#N/A,#N/A
2015,Jesse Callier,2015Jesse Callier,Washington,RB,70,202,,,,4.53,,,,,,,#N/A,#N/A
2015,Ibraheim Campbell,2015Ibraheim Campbell,Northwestern,SS,71.38,208,10.25,30.38,26,4.59,23,,,,,,115,4
2015,A.J. Cann,2015A.J. Cann,South Carolina,OG,74.75,313,10.25,32.63,,5.18,26,,,,,,67,3
2015,Nordly Capi,2015Nordly Capi,Akron,DE,75,252,,,,4.86,,,,,,,#N/A,#N/A
2015,Shane Carden,2015Shane Carden,East Carolina (NC),QB,73.88,218,9.75,33.25,25,4.94,,29.5,104,4.45,7.17,,#N/A,#N/A
2015,Joe Cardona,2015Joe Cardona,Navy,LS,74,242,9.63,31.5,,4.91,30,33,,,,,166,5
2015,Alex Carter,2015Alex Carter,Stanford,CB,72.13,196,9.13,32.13,30,4.51,17,40,121,4.07,7.05,11.31,80,3
2015,DeAndre Carter,2015DeAndre Carter,Sacramento State (CA),WR,68,186,,,,4.48,,,,,,,#N/A,#N/A
2015,Sam Carter,2015Sam Carter,Texas Christian,SS,73,216,,,,4.63,,,,,,,#N/A,#N/A
2015,Tevin Carter,2015Tevin Carter,Utah,FS,73,215,9.25,32,,4.54,19,,,,,,#N/A,#N/A
2015,James Castleman,2015James Castleman,Oklahoma State,DT,75,311,,,,5.12,,,,,,,#N/A,#N/A
2015,B.J. Catalon,2015B.J. Catalon,Texas Christian,RB,67.38,186,9,30,,4.57,,36,114,4.15,6.9,,#N/A,#N/A
2015,Rakeem Cato,2015Rakeem Cato,Marshall (WV),QB,71,171,,,,4.7,,,,,,,#N/A,#N/A
2015,Donald Celiscar,2015Donald Celiscar,Western Michigan,CB,70.88,194,9.25,31.38,,4.62,,,120,,,,#N/A,#N/A
2015,Tyson Chandler,2015Tyson Chandler,North Carolina State,OT,78,354,,,,5.42,,,,,,,#N/A,#N/A
2015,Anthony Chickillo,2015Anthony Chickillo,Miami (FL),DE,75.13,267,10.13,33.5,,4.79,27,34.5,114,4.25,7.17,,212,6
2015,Jawon Chisholm,2015Jawon Chisholm,Akron,RB,73,202,,,,4.63,,,,,,,#N/A,#N/A
2015,Gerald Christian,2015Gerald Christian,Louisville,TE,75,244,10.75,32.5,,4.87,28,,,4.7,7.62,12.66,256,7
2015,Kyle Christy,2015Kyle Christy,Florida,P,74.25,202,8.88,30,,4.93,,,,,,,#N/A,#N/A
2015,Tyler Cierski,2015Tyler Cierski,Maryland,FB,71,260,,,,4.74,,,,,,,#N/A,#N/A
2015,Imoan Claiborne,2015Imoan Claiborne,Northwestern State (LA),CB,70,189,,,,4.53,,,,,,,#N/A,#N/A
2015,Ace Clark,2015Ace Clark,Western Carolina,SS,74,217,,,,4.68,,,,,,,#N/A,#N/A
2015,Frank Clark,2015Frank Clark,Michigan,DE,74.88,271,10.13,34.38,,4.79,19,38.5,118,4.05,7.08,11.22,63,2
2015,Marquez Clark,2015Marquez Clark,Central Oklahoma,WR,70,190,,,,4.58,,,,,,,#N/A,#N/A
2015,Blaine Clausell,2015Blaine Clausell,Mississippi State,OT,78,329,,,,5.37,,,,,,,#N/A,#N/A
2015,Kaelin Clay,2015Kaelin Clay,Utah,WR,69.63,195,9,30.88,,4.51,10,33,113,4.26,6.97,,184,6
2015,Cameron Clear,2015Cameron Clear,Texas A&M,OT,77.38,277,9.63,33.63,,4.98,,32,108,4.48,7.52,12.07,#N/A,#N/A
2015,T.J. Clemmings,2015T.J. Clemmings,Pittsburgh,OT,76.75,309,10.38,35.13,,5.14,22,32.5,111,4.54,7.68,,110,4
2015,Cameron Clemmons,2015Cameron Clemmons,Western Kentucky,OT,78,300,,,,5.28,,,,,,,#N/A,#N/A
2015,Reshard Cliett,2015Reshard Cliett,South Florida,OLB,74,221,,,,4.67,,,,,,,211,6
2015,Sammie Coates,2015Sammie Coates,Auburn,WR,73.38,212,9.38,33.38,14,4.43,23,41,131,4.06,6.98,11.81,87,3
2015,David Cobb,2015David Cobb,Minnesota,RB,70.88,229,9.38,31.63,,4.59,17,38.5,121,,,,138,5
2015,Takoby Cofield,2015Takoby Cofield,Duke,OT,76.25,310,10,34,,5.19,23,30,101,4.79,8.09,,#N/A,#N/A
2015,Justin Coleman,2015Justin Coleman,Tennessee,CB,70.63,185,9.38,31.25,,4.53,20,37.5,124,3.98,6.61,11.21,#N/A,#N/A
2015,Tevin Coleman,2015Tevin Coleman,Indiana,RB,71.38,206,8.63,32,,4.59,22,,,,,,73,3
2015,Henry Coley,2015Henry Coley,Virginia,ILB,73,239,,,,4.95,,,,,,,#N/A,#N/A
2015,Jalen Collins,2015Jalen Collins,Louisiana State,CB,73.5,203,9.38,32.13,28,4.48,,36,124,4.27,6.77,11.32,42,2
2015,La`el Collins,2015La`el Collins,Louisiana State,OT,76.5,305,,,12,5.12,21,27,108,4.63,7.7,,#N/A,#N/A
2015,Landon Collins,2015Landon Collins,Alabama,SS,72,228,9.38,31.5,17,4.53,,35,120,4.33,7.38,11.94,33,2
2015,Austin Collinsworth,2015Austin Collinsworth,Notre Dame,SS,73,205,,,,4.62,,,,,,,#N/A,#N/A
2015,Chris Conley,2015Chris Conley,Georgia,WR,73.88,213,9.88,33.75,,4.35,18,45,139,4.3,7.06,11.65,76,3
2015,Brey Cook,2015Brey Cook,Arkansas,OT,77,317,,,,5.29,,,,,,,#N/A,#N/A
2015,Kenny Cook,2015Kenny Cook,Gardner-Webb (NC),WR,75,215,,,,4.56,,,,,,,#N/A,#N/A
2015,Amari Cooper,2015Amari Cooper,Alabama,WR,72.88,211,10,31.5,21,4.42,,33,120,3.98,6.71,,4,1
2015,Corey Cooper,2015Corey Cooper,Nebraska,SS,73,209,,,,4.62,,,,,,,#N/A,#N/A
2015,Xavier Cooper,2015Xavier Cooper,Washington State,DT,74.88,293,9.38,31.5,,4.86,29,29,110,4.37,7.23,,96,3
2015,Christian Covington,2015Christian Covington,Rice (TX),DT,74.38,289,10,33.25,,5.09,,,,,,,216,6
2015,Justin Cox,2015Justin Cox,Mississippi State,CB,72.63,191,9,31.25,,4.36,15,38,129,4.07,7.05,11.2,#N/A,#N/A
2015,Corey Crawford,2015Corey Crawford,Clemson,DE,77,283,9.25,34.5,,5.01,,33,110,4.65,7.64,,#N/A,#N/A
2015,Tony Creecy,2015Tony Creecy,North Carolina State,RB,71,215,,,,4.56,,,,,,,#N/A,#N/A
2015,Rob Crisp,2015Rob Crisp,North Carolina State,OT,78.63,301,10,34.5,,5.26,26,32.5,107,4.6,8.07,,#N/A,#N/A
2015,John Crockett,2015John Crockett,North Dakota State,RB,71.75,217,9.75,31,,4.62,15,40,125,4.25,7.15,,#N/A,#N/A
2015,Jamison Crowder,2015Jamison Crowder,Duke,WR,68.38,185,8.75,30.38,,4.56,10,37,115,4.32,7.17,,105,4
2015,Antwan Crutcher,2015Antwan Crutcher,Ohio,DT,73,297,,,,5.18,,,,,,,#N/A,#N/A
2015,Yannik Cudjoe-Virgil,2015Yannik Cudjoe-Virgil,Maryland,OLB,74.13,248,9.75,32.63,,4.74,25,,,,,,#N/A,#N/A
2015,Robertson Daniel,2015Robertson Daniel,Brigham Young,CB,73,198,,,,4.56,,,,,,,#N/A,#N/A
2015,DaVaris Daniels,2015DaVaris Daniels,Notre Dame,WR,73.5,201,9,31.25,,4.62,13,37,122,,,,#N/A,#N/A
2015,Ronald Darby,2015Ronald Darby,Florida State,CB,70.63,193,8.63,31.38,17,4.38,12,41.5,129,4.14,6.94,,50,2
2015,Erick Dargan,2015Erick Dargan,Oregon,SS,71,217,,,,4.62,,,,,,,#N/A,#N/A
2015,Aaron Davis,2015Aaron Davis,Colorado State,OLB,71.63,225,9,31,,4.95,16,29,107,4.37,7.38,12.01,#N/A,#N/A
2015,Andre Davis,2015Andre Davis,South Florida,WR,73,207,,,,4.55,,,,,,,#N/A,#N/A
2015,Carl Davis,2015Carl Davis,Iowa,DT,76.63,320,11,34.63,,5.07,,33,103,4.47,7.91,,90,3
2015,Devante Davis,2015Devante Davis,Nevada Las Vegas,WR,74.88,220,9.5,32.38,,4.57,16,35.5,115,4.12,7.25,11.6,#N/A,#N/A
2015,Dyshawn Davis,2015Dyshawn Davis,Syracuse,OLB,74,222,,,,4.72,,,,,,,#N/A,#N/A
2015,Geremy Davis,2015Geremy Davis,Connecticut,WR,74.38,216,9.5,32.25,,4.58,23,36.5,124,4.18,6.86,11.28,186,6
2015,Kalon Davis,2015Kalon Davis,Clemson,OG,77,340,,,,5.46,,,,,,,#N/A,#N/A
2015,Mike Davis,2015Mike Davis,South Carolina,RB,69.13,217,9.38,30.25,,4.61,17,34,116,4.18,7,11.65,126,4
2015,Titus Davis,2015Titus Davis,Central Michigan,WR,72.75,196,8.25,29.63,,4.51,,32.5,119,4.28,7.14,,#N/A,#N/A
2015,Tyeler Davison,2015Tyeler Davison,Frenso State (CA),DT,73.63,316,10.75,34,,5.18,32,33,105,4.46,7.53,,154,5
2015,Lamar Dawson,2015Lamar Dawson,Southern California,ILB,73,230,,,,4.78,,,,,,,#N/A,#N/A
2015,Paul Dawson,2015Paul Dawson,Texas Christian,ILB,72.13,235,9.5,31.5,20,4.93,21,28,109,4.49,,,99,3
2015,Dillon Day,2015Dillon Day,Mississippi State,C,76,305,,,,5.26,,,,,,,#N/A,#N/A
2015,Synjyn Days,2015Synjyn Days,Georgia Tech,RB,73,232,,,,4.67,,,,,,,#N/A,#N/A
2015,Andre Debose,2015Andre Debose,Florida,WR,73,190,,,,4.49,,,,,,,221,7
2015,Ryan Delaire,2015Ryan Delaire,Towson (MD),DE,76.13,254,10.38,32.5,,4.97,23,,,,,,#N/A,#N/A
2015,Trey DePriest,2015Trey DePriest,Alabama,ILB,72.38,254,9,31.63,,4.92,,,,,,,#N/A,#N/A
2015,A.J. Derby,2015A.J. Derby,Arkansas,TE,75.75,255,9.5,30.5,,4.73,15,,,,,,202,6
2015,Travis Dickson,2015Travis Dickson,Louisiana State,TE,75,237,,,,4.74,,,,,,,#N/A,#N/A
2015,Xzavier Dickson,2015Xzavier Dickson,Alabama,OLB,75.5,260,10,33.5,,4.74,19,29.5,100,4.53,7.56,,253,7
2015,Miles Dieffenbach,2015Miles Dieffenbach,Penn State,OG,75,305,,,,5.29,,,,,,,#N/A,#N/A
2015,Jarrett Dieudonne,2015Jarrett Dieudonne,Wagner (NY),FS,73,190,,,,4.62,,,,,,,#N/A,#N/A
2015,Quandre Diggs,2015Quandre Diggs,Texas,CB,69.13,196,9.63,29.63,,4.56,17,35.5,113,4.15,7.22,11.84,200,6
2015,Stefon Diggs,2015Stefon Diggs,Maryland,WR,72,195,10,31.25,,4.46,,35,115,4.32,7.03,,146,5
2015,Reese Dismukes,2015Reese Dismukes,Auburn,C,74.75,296,8.88,32.25,,5.31,23,27.5,107,4.7,8.14,,#N/A,#N/A
2015,Larry Dixon,2015Larry Dixon,Army,FB,70,237,,,,4.78,,,,,,,#N/A,#N/A
2015,Travell Dixon,2015Travell Dixon,Washington,CB,73,198,,,,4.52,,,,,,,#N/A,#N/A
2015,Michael Doctor,2015Michael Doctor,Oregon State,OLB,71,221,,,,4.64,,,,,,,#N/A,#N/A
2015,Andrew Donnal,2015Andrew Donnal,Iowa,OT,77.88,313,10,33.5,,5.31,17,32,101,4.77,7.84,,119,4
2015,Sean Donnelly,2015Sean Donnelly,Tulane (LA),OT,80,317,,,,5.47,,,,,,,#N/A,#N/A
2015,Matt Dooley,2015Matt Dooley,Indiana,LS,76,245,,,,5.08,,,,,,,#N/A,#N/A
2015,Phillip Dorsett,2015Phillip Dorsett,Miami (FL),WR,69.75,185,9.38,30.25,,4.33,13,37,122,4.11,6.7,,29,1
2015,Lorenzo Doss,2015Lorenzo Doss,Tulane (LA),CB,70.38,182,9,29.75,,4.5,9,33.5,115,4.26,7.2,11.9,164,5
2015,Jamil Douglas,2015Jamil Douglas,Arizona State,OG,76,304,10.75,33.38,,5.25,28,29,99,4.75,7.99,,114,4
2015,Ray Drew,2015Ray Drew,Georgia,DE,76,284,,,,4.81,,,,,,,#N/A,#N/A
2015,Kurtis Drummond,2015Kurtis Drummond,Michigan State,FS,72.63,208,10.38,32.25,,4.65,,39.5,119,4.33,7.09,12.03,#N/A,#N/A
2015,B.J. Dubose,2015B.J. Dubose,Louisville,DE,76,284,9.75,33,,5.06,26,,,,,,193,6
2015,Quinton Dunbar,2015Quinton Dunbar,Florida,WR,73,195,,,,4.44,,,,,,,#N/A,#N/A
2015,Chris Dunkley,2015Chris Dunkley,South Florida,CB,71,182,,,,4.46,,,,,,,#N/A,#N/A
2015,Alvin Dupree,2015Alvin Dupree,Kentucky,DE,76,269,,,13,4.56,,42,138,,,,#N/A,#N/A
2015,Lemar Durant,2015Lemar Durant,Simon Fraser (Canada),WR,73,231,,,,4.59,,,,,,,#N/A,#N/A
2015,Dechane Durante,2015Dechane Durante,Northern Illinois,FS,74,194,,,,4.56,,,,,,,#N/A,#N/A
2015,Michael Dyer,2015Michael Dyer,Louisville,RB,68.5,218,9.5,30.63,,4.58,26,34,120,,,,#N/A,#N/A
2015,Andrew East,2015Andrew East,Vanderbilt,LS,74,239,,,,4.87,,,,,,,#N/A,#N/A
2015,Nick Easton,2015Nick Easton,Harvard,C,74,307,,,,5.15,,,,,,,#N/A,#N/A
2015,Quinterrius Eatmon,2015Quinterrius Eatmon,South Florida,OT,77,313,,,,5.37,,,,,,,#N/A,#N/A
2015,Fabbians Ebbele,2015Fabbians Ebbele,Arizona,OT,80,311,,,,5.29,,,,,,,#N/A,#N/A
2015,Steve Edmond,2015Steve Edmond,Texas,ILB,75,253,,,,4.84,,,,,,,#N/A,#N/A
2015,Jahwan Edwards,2015Jahwan Edwards,Ball State (IN),RB,69.5,220,8.88,31.63,,4.8,16,35.5,117,4.5,7.63,12.4,#N/A,#N/A
2015,Mario Edwards,2015Mario Edwards,Florida State,DE,74.63,279,10.88,33.25,,4.84,32,32.5,120,4.55,7.44,,35,2
2015,SaQwan Edwards,2015SaQwan Edwards,New Mexico,CB,73,200,,,,4.52,,,,,,,#N/A,#N/A
2015,Ifo Ekpre-Olomu,2015Ifo Ekpre-Olomu,Oregon,CB,69.13,192,9.63,30.88,,4.52,,,,,,,241,7
2015,Kyle Emanuel,2015Kyle Emanuel,North Dakota State,OLB,75.25,255,9.38,31,,4.77,27,34,120,4.25,7.1,11.78,153,5
2015,Quinn Epperly,2015Quinn Epperly,Princeton,QB,73,218,,,,4.89,,,,,,,#N/A,#N/A
2015,Zac Epping,2015Zac Epping,Minnesota,OG,74,318,,,,5.48,,,,,,,#N/A,#N/A
2015,Cameron Erving,2015Cameron Erving,Florida State,C,77.5,313,10.38,34.13,,5.15,30,30.5,112,4.63,7.48,,19,1
2015,Durrell Eskridge,2015Durrell Eskridge,Syracuse,FS,74.88,208,,,,4.63,,31,117,4.26,7.09,,#N/A,#N/A
2015,Kaleb Eulls,2015Kaleb Eulls,Mississippi State,DT,75,305,,,,5.23,,,,,,,#N/A,#N/A
2015,Randall Evans,2015Randall Evans,Kansas State,CB,73,190,,,,4.57,,,,,,,196,6
2015,Antoine Everett,2015Antoine Everett,McNeese State (LA),OG,74,328,,,,5.32,,,,,,,#N/A,#N/A
2015,Deshazor Everett,2015Deshazor Everett,Texas A&M,CB,71,188,,,,4.49,,,,,,,#N/A,#N/A
2015,Tayo Fabuluje,2015Tayo Fabuluje,Texas Christian,OG,78.38,353,9.88,34,,5.55,,29.5,,4.77,,,183,6
2015,Cody Fajardo,2015Cody Fajardo,Nevada,QB,73.5,223,9.5,31.38,31,4.63,,32.5,118,4.1,6.95,,#N/A,#N/A
2015,Maurice Falls,2015Maurice Falls,East Carolina (NC),OLB,75,247,,,,4.67,,,,,,,#N/A,#N/A
2015,Ethan Farmer,2015Ethan Farmer,North Carolina,DT,74,291,,,,5.04,,,,,,,#N/A,#N/A
2015,George Farmer,2015George Farmer,Southern California,WR,73,220,,,,4.38,,,,,,,#N/A,#N/A
2015,Tom Farniok,2015Tom Farniok,Iowa State,C,75,300,,,,5.27,,,,,,,#N/A,#N/A
2015,Cole Farrand,2015Cole Farrand,Maryland,ILB,75,244,,,,4.86,,,,,,,#N/A,#N/A
2015,Landon Feichter,2015Landon Feichter,Purdue,FS,73,192,,,,4.62,,,,,,,#N/A,#N/A
2015,Jon Feliciano,2015Jon Feliciano,Miami (FL),OG,75.88,323,9.75,32.38,,5.33,,26.5,97,4.74,,,128,4
2015,Sam Ficken,2015Sam Ficken,Penn State,K,73.5,191,9,31,,5.06,,,,,,,#N/A,#N/A
2015,B.J. Finney,2015B.J. Finney,Kansas State,C,75.75,318,10,32,,5.25,20,24,99,4.76,,,#N/A,#N/A
2015,Jake Fisher,2015Jake Fisher,Oregon,OT,78.13,306,10.38,33.75,,5.01,25,32.5,,4.33,7.25,,53,2
2015,Daniel Fitzpatrick,2015Daniel Fitzpatrick,Tennessee State,SS,73,206,,,,4.68,,,,,,,#N/A,#N/A
2015,Ereck Flowers,2015Ereck Flowers,Miami (FL),OT,78.25,329,9.88,34.5,,5.31,37,,,,,,9,1
